SYMBOL BIOTYPE
1700001G17Rik TEC
1700054O05Rik lncRNA
Amd2 protein_coding
1700081N11Rik lncRNA
4930449C09Rik lncRNA
1700087M22Rik lncRNA
1700065I16Rik transcribed_unprocessed_pseudogene
5930403N24Rik lncRNA
4930543K20Rik lncRNA
4930591E09Rik lncRNA
2700097O09Rik protein_coding
4932438A13Rik protein_coding
1110017D15Rik protein_coding
4921504A21Rik lncRNA
4933433N18Rik lncRNA
Ahnak protein_coding
Asap1 protein_coding
Asrgl1 protein_coding
4930518P08Rik lncRNA
1700047A11Rik lncRNA
1110060G06Rik TEC
Adgrg4 protein_coding
2310008N11Rik lncRNA
Aldoart2 protein_coding
A630072M18Rik lncRNA
4933407I08Rik lncRNA
2900078I11Rik TEC
Arid3c protein_coding
1700010G06Rik lncRNA
4921525O09Rik lncRNA
Adcy8 protein_coding
4930412F09Rik lncRNA
Adad1 protein_coding
Arhgef6 protein_coding
2900092N22Rik TEC
4930547M16Rik lncRNA
5330406M23Rik TEC
BB123696 lncRNA
2210408F21Rik lncRNA
Auh protein_coding
Adgra2 protein_coding
Angptl8 protein_coding
A930005N03Rik TEC
Arl5b protein_coding
4933416M07Rik lncRNA
Adrb3 protein_coding
A930033M14Rik lncRNA
1700012A03Rik protein_coding
9530014B07Rik lncRNA
Amd1 protein_coding
4930555G21Rik lncRNA
Adcy1 protein_coding
4930568A12Rik lncRNA
4930594O21Rik lncRNA
5430430B14Rik TEC
1700045I11Rik TEC
5430434I15Rik lncRNA
1700101I19Rik lncRNA
3830422I06Rik TEC
Amer3 protein_coding
Ankrd50 protein_coding
A930004D18Rik protein_coding
AA619741 processed_pseudogene
Arhgef4 protein_coding
1810059C17Rik lncRNA
Armc10 protein_coding
4833439L19Rik protein_coding
Atp11c protein_coding
1700017G19Rik lncRNA
4930578G10Rik protein_coding
1700008N11Rik lncRNA
Arl10 protein_coding
A930012L18Rik lncRNA
4933433F19Rik lncRNA
4921518K17Rik lncRNA
1110002O04Rik lncRNA
Ak9 protein_coding
4930535G08Rik lncRNA
Ass-ps1 processed_pseudogene
1700022I11Rik protein_coding
4931400O07Rik protein_coding
4930426L09Rik lncRNA
Armc3 protein_coding
A330093E20Rik lncRNA
7420700N18Rik lncRNA
Abca13 protein_coding
4930447F04Rik protein_coding
1700018A14Rik TEC
1700036O09Rik lncRNA
4930447M23Rik lncRNA
4933436I01Rik protein_coding
