,Feature,Segment1.Slope,Segment2.Slope,Segment3.Slope,Segment4.Slope,Segment5.Slope,Segment6.Slope,Segment1.Trend,Segment2.Trend,Segment3.Trend,Segment4.Trend,Segment5.Trend,Segment6.Trend,Segment1.Pvalue,Segment2.Pvalue,Segment3.Pvalue,Segment4.Pvalue,Segment5.Pvalue,Segment6.Pvalue,Breakpoint1,Breakpoint2,Breakpoint3,Breakpoint4,Breakpoint5,AdjustedR2,X3m_s1.Trend,X3m_s2.Trend,X3m_s3.Trend,X3m_s4.Trend,X3m_s5.Trend,X6m_s1.Trend,X6m_s2.Trend,X6m_s3.Trend,X6m_s4.Trend,X6m_s5.Trend,X9m_s1.Trend,X9m_s2.Trend,X9m_s3.Trend,X9m_s4.Trend,X9m_s5.Trend,X9m_s6.Trend,X12m_s1.Trend,X12m_s2.Trend,X12m_s3.Trend,X12m_s4.Trend,X12m_s5.Trend,X15m_s1.Trend,X15m_s2.Trend,X15m_s3.Trend,X15m_s4.Trend,X15m_s5.Trend,X15m_s6.Trend,X18m_s1.Trend,X18m_s2.Trend,X18m_s3.Trend,X18m_s4.Trend,X21m_s1.Trend,X21m_s2.Trend,X21m_s3.Trend,X21m_s4.Trend,X21m_s5.Trend,X21m_s6.Trend,X24m_s1.Trend,X24m_s2.Trend,X24m_s3.Trend,X24m_s4.Trend,X27m_s1.Trend,X27m_s2.Trend,X27m_s3.Trend,X27m_s4.Trend
Dlgap1,Dlgap1,2.90459415852287,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,8.96612839827385e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.349263575576148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Olfr535,Olfr535,-0.30122,1.927,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0.259638831745571,0.0852129431780808,NA,NA,NA,NA,17.0397436947172,NA,NA,NA,NA,0.349118010361083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Rgs14,Rgs14,-0.39967,2.0301,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0.176457838139949,0.0927508063711586,NA,NA,NA,NA,18.0477512784595,NA,NA,NA,NA,0.348552355370395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Zfp180,Zfp180,-3.27603234997179,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,0.000144770246178243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.348522675048093,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ubl7,Ubl7,-7.223817493383,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,0.00011380963301494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.347938077514879,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Tenm3,Tenm3,1.20350155043434,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.0111447830592708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.347837415344273,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nkiras2,Nkiras2,-7.30673043459923,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,5.93034542637773e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.347324274895946,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Pdhb,Pdhb,-72.4134097334346,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,2.35722229952075e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.347229168254485,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
C330018D20Rik,C330018D20Rik,6.2264,-5.3755,NA,NA,NA,NA,0,-1,NA,NA,NA,NA,0.149106835095534,0.0683465409790148,NA,NA,NA,NA,10.9601561211246,NA,NA,NA,NA,0.347125573314426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Usp26,Usp26,0.28444555837093,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.0528706157630271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.346733357951036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ggcx,Ggcx,-4.731202854687,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,2.17513904990537e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.346523281812374,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Fndc5,Fndc5,-44.978548926607,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,1.06280963768121e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.346461143676477,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Gm14867,Gm14867,0.359887828250025,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.00486840957294046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.346436546849355,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ikzf1,Ikzf1,-3.7015,2.7069,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0.145287248549833,0.0778688112760458,NA,NA,NA,NA,10.1024283468187,NA,NA,NA,NA,0.345645917129729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uqcrc1,Uqcrc1,-213.523748587445,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,4.69508216768685e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345601657140854,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Rai14,Rai14,1.42119835266682,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.000113958940123707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345493770337186,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4933431K23Rik,4933431K23Rik,0.557103151181999,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.0800952955231457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34532331122118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Olfr867,Olfr867,0.598718788633615,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1.0559081664498e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.344607421231702,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dbt,Dbt,-6.36304915270278,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,1.3283365221757e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.344592458934438,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
