Trendy genes	Trendy genes:Module genes	Module genes	Trendy genes:Module genes:Hub genes	Module genes:Hub genes
Dzip1l	NA	NA	NA	NA
F11	NA	NA	NA	NA
Gm15638	NA	NA	NA	NA
Cox20	NA	NA	NA	NA
Oasl2	NA	NA	NA	NA
Dmrta1	NA	NA	NA	NA
Sec22b	NA	NA	NA	NA
Mthfs	NA	NA	NA	NA
Mgat4b	NA	NA	NA	NA
Sult2a3	NA	NA	NA	NA
Fign	NA	NA	NA	NA
App	NA	NA	NA	NA
Zbed4-ps1	NA	NA	NA	NA
Elovl3	NA	NA	NA	NA
Yaf2	NA	NA	NA	NA
Cdc37l1	NA	NA	NA	NA
H2-T22	NA	NA	NA	NA
Abce1	NA	NA	NA	NA
Meis1	NA	NA	NA	NA
Kif21a	NA	NA	NA	NA
Slc33a1	NA	NA	NA	NA
Ehbp1l1	NA	NA	NA	NA
Pcgf6	NA	NA	NA	NA
Cdh19	NA	NA	NA	NA
Nsd2	NA	NA	NA	NA
Ctdp1	NA	NA	NA	NA
Gorasp2	NA	NA	NA	NA
Pcdh11x	NA	NA	NA	NA
Rnd2	NA	NA	NA	NA
Pdia6	NA	NA	NA	NA
Stk38	NA	NA	NA	NA
Tnip3	NA	NA	NA	NA
Obp2a	NA	NA	NA	NA
Mreg	NA	NA	NA	NA
Olfr1044	NA	NA	NA	NA
Hebp1	NA	NA	NA	NA
Mcur1	NA	NA	NA	NA
Dusp6	NA	NA	NA	NA
Gm4756	NA	NA	NA	NA
Spop	NA	NA	NA	NA
Tor4a	NA	NA	NA	NA
Mrgpre	NA	NA	NA	NA
Apoa1	NA	NA	NA	NA
Rarres2	NA	NA	NA	NA
Gm10319	NA	NA	NA	NA
Sema4d	NA	NA	NA	NA
Serpina11	NA	NA	NA	NA
Ubtd1	NA	NA	NA	NA
Gtf2ird1	NA	NA	NA	NA
Nt5c2	NA	NA	NA	NA
Trp53inp2	NA	NA	NA	NA
Dus1l	NA	NA	NA	NA
Wipi1	NA	NA	NA	NA
Habp4	NA	NA	NA	NA
Hsd17b2	NA	NA	NA	NA
Creb3l3	NA	NA	NA	NA
Eif5	NA	NA	NA	NA
Tmem263	NA	NA	NA	NA
Impa1	NA	NA	NA	NA
Rexo2	NA	NA	NA	NA
Hsd17b12	NA	NA	NA	NA
Vat1	NA	NA	NA	NA
Myef2	NA	NA	NA	NA
Cx3cl1	NA	NA	NA	NA
Hars	NA	NA	NA	NA
Dcakd	NA	NA	NA	NA
Car6	NA	NA	NA	NA
Gucd1	NA	NA	NA	NA
Sult5a1	NA	NA	NA	NA
Cyp4a32	NA	NA	NA	NA
Gm37969	NA	NA	NA	NA
Zhx3	NA	NA	NA	NA
Fam234b	NA	NA	NA	NA
Cyp3a41a	NA	NA	NA	NA
Spc25	NA	NA	NA	NA
Igkv5-39	NA	NA	NA	NA
Irgm2	NA	NA	NA	NA
Etfb	NA	NA	NA	NA
Gckr	NA	NA	NA	NA
Lrrfip2	NA	NA	NA	NA
Nkd1	NA	NA	NA	NA
Mme	NA	NA	NA	NA
Ppib	NA	NA	NA	NA
Ifit2	NA	NA	NA	NA
Tnfaip8l3	NA	NA	NA	NA
Fam160a2	NA	NA	NA	NA
4732463B04Rik	NA	NA	NA	NA
Pold4	NA	NA	NA	NA
Gm20559	NA	NA	NA	NA
Gm48633	NA	NA	NA	NA
Gm5122	NA	NA	NA	NA
Nek6	NA	NA	NA	NA
Myo1d	NA	NA	NA	NA
Pja1	NA	NA	NA	NA
Naip5	NA	NA	NA	NA
Tnfsf10	NA	NA	NA	NA
Lmnb2	NA	NA	NA	NA
Ces3b	NA	NA	NA	NA
Bmp1	NA	NA	NA	NA
Emp2	NA	NA	NA	NA
Bpifa2	NA	NA	NA	NA
Hdlbp	NA	NA	NA	NA
Ldhd	NA	NA	NA	NA
Mrpl15	NA	NA	NA	NA
Scly	NA	NA	NA	NA
Clk3	NA	NA	NA	NA
Tmem129	NA	NA	NA	NA
Cryl1	NA	NA	NA	NA
Olfr701	NA	NA	NA	NA
Tmem53	NA	NA	NA	NA
Cops7b	NA	NA	NA	NA
Gstp3	NA	NA	NA	NA
Lurap1l	NA	NA	NA	NA
Trim30d	NA	NA	NA	NA
Lama1	NA	NA	NA	NA
Fh1	NA	NA	NA	NA
Tbl3	NA	NA	NA	NA
Fbxo22	NA	NA	NA	NA
Ubiad1	NA	NA	NA	NA
Glrb	NA	NA	NA	NA
Dcaf4	NA	NA	NA	NA
Camk2b	NA	NA	NA	NA
Bdnf	NA	NA	NA	NA
Ahsa2	NA	NA	NA	NA
Copg1	NA	NA	NA	NA
Psmd6	NA	NA	NA	NA
Ctnnal1	NA	NA	NA	NA
Mbl1	NA	NA	NA	NA
Mtfr1	NA	NA	NA	NA
Taf7l	NA	NA	NA	NA
Grhl1	NA	NA	NA	NA
Igfbp7	NA	NA	NA	NA
Impg2	NA	NA	NA	NA
Galns	NA	NA	NA	NA
Txn2	NA	NA	NA	NA
Gamt	NA	NA	NA	NA
Avpr1a	NA	NA	NA	NA
Gm30551	NA	NA	NA	NA
Atp7b	NA	NA	NA	NA
Srsf5	NA	NA	NA	NA
Spred1	NA	NA	NA	NA
Nsd3	NA	NA	NA	NA
Grina	NA	NA	NA	NA
Psmc4	NA	NA	NA	NA
Fkbp11	NA	NA	NA	NA
Fads1	NA	NA	NA	NA
Prkab1	NA	NA	NA	NA
Ano8	NA	NA	NA	NA
Vcp	NA	NA	NA	NA
Enpp2	NA	NA	NA	NA
4930402D18Rik	NA	NA	NA	NA
Flad1	NA	NA	NA	NA
Ube2j1	NA	NA	NA	NA
Desi1	NA	NA	NA	NA
Riok3	NA	NA	NA	NA
Mcc	NA	NA	NA	NA
Atat1	NA	NA	NA	NA
Mapk3	NA	NA	NA	NA
Mup-ps16	NA	NA	NA	NA
Kank2	NA	NA	NA	NA
Apom	NA	NA	NA	NA
Nat1	NA	NA	NA	NA
Rab5a	NA	NA	NA	NA
Psme3	NA	NA	NA	NA
Mup19	NA	NA	NA	NA
Hbp1	NA	NA	NA	NA
Pcdhgb5	NA	NA	NA	NA
Strbp	NA	NA	NA	NA
Ganab	NA	NA	NA	NA
Scyl1	NA	NA	NA	NA
Tax1bp1	NA	NA	NA	NA
Yars	NA	NA	NA	NA
Plgrkt	NA	NA	NA	NA
Gm43210	NA	NA	NA	NA
Deptor	NA	NA	NA	NA
Gm43305	NA	NA	NA	NA
Gm43606	NA	NA	NA	NA
Fzd1	NA	NA	NA	NA
Rundc3b	NA	NA	NA	NA
Gm16551	NA	NA	NA	NA
Ola1	NA	NA	NA	NA
Hmbs	NA	NA	NA	NA
Babam1	NA	NA	NA	NA
Wdr43	NA	NA	NA	NA
Peg3	NA	NA	NA	NA
C4bp	NA	NA	NA	NA
Gadd45a	NA	NA	NA	NA
Fus	NA	NA	NA	NA
Ccdc14	NA	NA	NA	NA
Cyp46a1	NA	NA	NA	NA
Hnrnpul1	NA	NA	NA	NA
Amy1	NA	NA	NA	NA
Rab30	NA	NA	NA	NA
Cenpb	NA	NA	NA	NA
Chia1	NA	NA	NA	NA
Vmn1r12	NA	NA	NA	NA
Ptprh	NA	NA	NA	NA
Stap1	NA	NA	NA	NA
Gm10614	NA	NA	NA	NA
Fam53b	NA	NA	NA	NA
Serinc1	NA	NA	NA	NA
Eif3c	NA	NA	NA	NA
Sema4a	NA	NA	NA	NA
Ikbkg	NA	NA	NA	NA
Tma16	NA	NA	NA	NA
Arhgap15os	NA	NA	NA	NA
Gstk1	NA	NA	NA	NA
Gm15433	NA	NA	NA	NA
Ccdc71l	NA	NA	NA	NA
Clec4n	NA	NA	NA	NA
Mlph	NA	NA	NA	NA
Csad	NA	NA	NA	NA
Sec61a1	NA	NA	NA	NA
Naglu	NA	NA	NA	NA
Scn4a	NA	NA	NA	NA
2810459M11Rik	NA	NA	NA	NA
Taf12	NA	NA	NA	NA
Stab2	NA	NA	NA	NA
Stk16	NA	NA	NA	NA
Gatm	NA	NA	NA	NA
Tmem106a	NA	NA	NA	NA
Mlf2	NA	NA	NA	NA
Slc41a3	NA	NA	NA	NA
Enoph1	NA	NA	NA	NA
Psd4	NA	NA	NA	NA
Tmed2	NA	NA	NA	NA
Mlxipl	NA	NA	NA	NA
Gm40457	NA	NA	NA	NA
Rpusd3	NA	NA	NA	NA
Arcn1	NA	NA	NA	NA
Gdpgp1	NA	NA	NA	NA
Gzf1	NA	NA	NA	NA
Pa2g4	NA	NA	NA	NA
Sgsm3	NA	NA	NA	NA
Dnajb1	NA	NA	NA	NA
Sars	NA	NA	NA	NA
Cdipt	NA	NA	NA	NA
6720482G16Rik	NA	NA	NA	NA
Zfp429	NA	NA	NA	NA
Ubqln4	NA	NA	NA	NA
Rarres1	NA	NA	NA	NA
Lbh	NA	NA	NA	NA
Sec13	NA	NA	NA	NA
Clasp2	NA	NA	NA	NA
Faf1	NA	NA	NA	NA
Capn8	NA	NA	NA	NA
Olfr52	NA	NA	NA	NA
Hpcal1	NA	NA	NA	NA
Zfp637	NA	NA	NA	NA
Cbr1	NA	NA	NA	NA
Ablim3	NA	NA	NA	NA
Ugt3a2	NA	NA	NA	NA
Lgals1	NA	NA	NA	NA
Mfsd4b4	NA	NA	NA	NA
Mfsd8	NA	NA	NA	NA
Pag1	NA	NA	NA	NA
Mup-ps7	NA	NA	NA	NA
Nars2	NA	NA	NA	NA
Uros	NA	NA	NA	NA
Crybg2	NA	NA	NA	NA
Emc3	NA	NA	NA	NA
C9orf72	NA	NA	NA	NA
Ube2f	NA	NA	NA	NA
Pml	NA	NA	NA	NA
Asgr2	NA	NA	NA	NA
Nagk	NA	NA	NA	NA
Macrod1	NA	NA	NA	NA
Prodh	NA	NA	NA	NA
Serpinb6a	NA	NA	NA	NA
Adora1	NA	NA	NA	NA
Hcls1	NA	NA	NA	NA
Slpi	NA	NA	NA	NA
Mrpl48	NA	NA	NA	NA
Havcr2	NA	NA	NA	NA
Rpn2	NA	NA	NA	NA
Fbxo8	NA	NA	NA	NA
Nubp2	NA	NA	NA	NA
Ipp	NA	NA	NA	NA
Timm29	NA	NA	NA	NA
Ltbp1	NA	NA	NA	NA
Ntn1	NA	NA	NA	NA
Pdia5	NA	NA	NA	NA
Spcs3	NA	NA	NA	NA
Gm11992	NA	NA	NA	NA
Rnd1	NA	NA	NA	NA
Surf4	NA	NA	NA	NA
Alg3	NA	NA	NA	NA
Nlrp12	NA	NA	NA	NA
Ccl4	NA	NA	NA	NA
Ssr3	NA	NA	NA	NA
Spag7	NA	NA	NA	NA
Sec31b	NA	NA	NA	NA
Rangap1	NA	NA	NA	NA
Scamp5	NA	NA	NA	NA
Mup17	NA	NA	NA	NA
Cntn1	NA	NA	NA	NA
Klhdc1	NA	NA	NA	NA
Zfp395	NA	NA	NA	NA
Gab2	NA	NA	NA	NA
Btd	NA	NA	NA	NA
Shtn1	NA	NA	NA	NA
Rcan3	NA	NA	NA	NA
Ccl5	NA	NA	NA	NA
D230025D16Rik	NA	NA	NA	NA
Rpe	NA	NA	NA	NA
Iars	NA	NA	NA	NA
Akap8l	NA	NA	NA	NA
Spns1	NA	NA	NA	NA
Psmd14	NA	NA	NA	NA
Ggcx	NA	NA	NA	NA
Tdg	NA	NA	NA	NA
Sult1b1	NA	NA	NA	NA
Brcc3	NA	NA	NA	NA
Gm26967	NA	NA	NA	NA
AU022252	NA	NA	NA	NA
Anxa6	NA	NA	NA	NA
C1ra	NA	NA	NA	NA
Itgax	NA	NA	NA	NA
Otoa	NA	NA	NA	NA
Gm20121	NA	NA	NA	NA
Abcf2	NA	NA	NA	NA
Mmd2	NA	NA	NA	NA
Xrn2	NA	NA	NA	NA
Papln	NA	NA	NA	NA
Tap2	NA	NA	NA	NA
Paox	NA	NA	NA	NA
Zdhhc6	NA	NA	NA	NA
Pex14	NA	NA	NA	NA
Sucnr1	NA	NA	NA	NA
Acox2	NA	NA	NA	NA
Kat2a	NA	NA	NA	NA
Mmd	NA	NA	NA	NA
4833439L19Rik	NA	NA	NA	NA
Copb1	NA	NA	NA	NA
Phospho2	NA	NA	NA	NA
