Trendy genes	Trendy genes:Module genes	Module genes	Trendy genes:Module genes:Hub genes	Module genes:Hub genes
Bcl11b	NA	NA	NA	NA
Myo10	NA	NA	NA	NA
Mtfr1l	NA	NA	NA	NA
Arhgef2	NA	NA	NA	NA
Acsl3	NA	NA	NA	NA
Gm7582	NA	NA	NA	NA
Cxcr3	NA	NA	NA	NA
Tardbp	NA	NA	NA	NA
Ms4a4b	NA	NA	NA	NA
Rasgrp2	NA	NA	NA	NA
Lair1	NA	NA	NA	NA
Cgrrf1	NA	NA	NA	NA
Atrnl1	NA	NA	NA	NA
Mpv17l2	NA	NA	NA	NA
Terf2ip	NA	NA	NA	NA
Gm13241	NA	NA	NA	NA
Rnf43	NA	NA	NA	NA
Gpr183	NA	NA	NA	NA
Dock6	NA	NA	NA	NA
Pak4	NA	NA	NA	NA
Ms4a6b	NA	NA	NA	NA
Nhp2	NA	NA	NA	NA
Ap3b1	NA	NA	NA	NA
Twf1	NA	NA	NA	NA
Fkbp5	NA	NA	NA	NA
Srrt	NA	NA	NA	NA
C030037D09Rik	NA	NA	NA	NA
Ighd	NA	NA	NA	NA
Cdk2ap2	NA	NA	NA	NA
Il3ra	NA	NA	NA	NA
Wipf3	NA	NA	NA	NA
Ggt5	NA	NA	NA	NA
Gm49405	NA	NA	NA	NA
Igfbp3	NA	NA	NA	NA
Ttll1	NA	NA	NA	NA
Lst1	NA	NA	NA	NA
Adamts7	NA	NA	NA	NA
Bcl2a1a	NA	NA	NA	NA
Pllp	NA	NA	NA	NA
Tmem62	NA	NA	NA	NA
Fes	NA	NA	NA	NA
Cd244a	NA	NA	NA	NA
Mgat1	NA	NA	NA	NA
Pxdn	NA	NA	NA	NA
Ccdc58	NA	NA	NA	NA
Plekhh2	NA	NA	NA	NA
Slc2a2	NA	NA	NA	NA
Fgd6	NA	NA	NA	NA
Slc37a3	NA	NA	NA	NA
Lrig3	NA	NA	NA	NA
Chil5	NA	NA	NA	NA
Suclg2	NA	NA	NA	NA
Ncor1	NA	NA	NA	NA
Clpp	NA	NA	NA	NA
Gm17251	NA	NA	NA	NA
Gnai3	NA	NA	NA	NA
Rab3gap1	NA	NA	NA	NA
Fcer1g	NA	NA	NA	NA
Accs	NA	NA	NA	NA
Angel2	NA	NA	NA	NA
Slc35b3	NA	NA	NA	NA
Dock10	NA	NA	NA	NA
Pilrb2	NA	NA	NA	NA
Gm28513	NA	NA	NA	NA
Unc50	NA	NA	NA	NA
Zfp830	NA	NA	NA	NA
Faf2	NA	NA	NA	NA
Igsf23	NA	NA	NA	NA
Stc2	NA	NA	NA	NA
Adal	NA	NA	NA	NA
Gm15470	NA	NA	NA	NA
Clns1a	NA	NA	NA	NA
Zfc3h1	NA	NA	NA	NA
Ythdf2	NA	NA	NA	NA
Prkcsh	NA	NA	NA	NA
Ctsb	NA	NA	NA	NA
Dlgap1	NA	NA	NA	NA
Csf2rb2	NA	NA	NA	NA
Sspn	NA	NA	NA	NA
Map10	NA	NA	NA	NA
Fpgs	NA	NA	NA	NA
L3mbtl3	NA	NA	NA	NA
Lnpep	NA	NA	NA	NA
Robo1	NA	NA	NA	NA
Nudcd2	NA	NA	NA	NA
Copb2	NA	NA	NA	NA
Flvcr1	NA	NA	NA	NA
Ccdc85c	NA	NA	NA	NA
Klhdc7b	NA	NA	NA	NA
Casp1	NA	NA	NA	NA
Ccdc6	NA	NA	NA	NA
Ppp2r5b	NA	NA	NA	NA
Timm44	NA	NA	NA	NA
B230206L02Rik	NA	NA	NA	NA
Rhot1	NA	NA	NA	NA
Rab11b	NA	NA	NA	NA
Gm19409	NA	NA	NA	NA
Kcng2	NA	NA	NA	NA
Usp20	NA	NA	NA	NA
Gm16638	NA	NA	NA	NA
Art2b	NA	NA	NA	NA
Ptrhd1	NA	NA	NA	NA
Dus2	NA	NA	NA	NA
Ptcd3	NA	NA	NA	NA
Ptprj	NA	NA	NA	NA
Rnft1	NA	NA	NA	NA
Leo1	NA	NA	NA	NA
Mcm3	NA	NA	NA	NA
Mrpl45	NA	NA	NA	NA
Zfp623	NA	NA	NA	NA
Plin5	NA	NA	NA	NA
Akr1e1	NA	NA	NA	NA
Xpnpep3	NA	NA	NA	NA
Runx3	NA	NA	NA	NA
Ptpn18	NA	NA	NA	NA
Rhot2	NA	NA	NA	NA
Pter	NA	NA	NA	NA
Rtl5	NA	NA	NA	NA
Ckap4	NA	NA	NA	NA
Rdh9	NA	NA	NA	NA
Saysd1	NA	NA	NA	NA
Klf9	NA	NA	NA	NA
Gm7609	NA	NA	NA	NA
Tspan14	NA	NA	NA	NA
Ctsd	NA	NA	NA	NA
Itgb2	NA	NA	NA	NA
Csnk1g2	NA	NA	NA	NA
Fam13a	NA	NA	NA	NA
Lta4h	NA	NA	NA	NA
Ncs1	NA	NA	NA	NA
Sugct	NA	NA	NA	NA
Mesd	NA	NA	NA	NA
2810414N06Rik	NA	NA	NA	NA
4921524J17Rik	NA	NA	NA	NA
Ttyh3	NA	NA	NA	NA
AU020206	NA	NA	NA	NA
Eif2b2	NA	NA	NA	NA
Nxn	NA	NA	NA	NA
Id1	NA	NA	NA	NA
Trappc11	NA	NA	NA	NA
Elmo1	NA	NA	NA	NA
Esyt2	NA	NA	NA	NA
Lilrb4a	NA	NA	NA	NA
Hspa4l	NA	NA	NA	NA
Unc13d	NA	NA	NA	NA
C230024C17Rik	NA	NA	NA	NA
Ptpn7	NA	NA	NA	NA
Crp	NA	NA	NA	NA
Phlda3	NA	NA	NA	NA
6430550D23Rik	NA	NA	NA	NA
Tgif2	NA	NA	NA	NA
Adrb2	NA	NA	NA	NA
Xk	NA	NA	NA	NA
Letmd1	NA	NA	NA	NA
Pik3cd	NA	NA	NA	NA
Rest	NA	NA	NA	NA
Iffo2	NA	NA	NA	NA
Ttll4	NA	NA	NA	NA
Lpar6	NA	NA	NA	NA
Bahcc1	NA	NA	NA	NA
Mrps7	NA	NA	NA	NA
Gm47465	NA	NA	NA	NA
Nmnat3	NA	NA	NA	NA
Fgg	NA	NA	NA	NA
Ces2d-ps	NA	NA	NA	NA
Cbx7	NA	NA	NA	NA
Zfp112	NA	NA	NA	NA
Morf4l2	NA	NA	NA	NA
Ncoa4	NA	NA	NA	NA
Ywhae	NA	NA	NA	NA
Sbds	NA	NA	NA	NA
Hps5	NA	NA	NA	NA
Gm19840	NA	NA	NA	NA
Tmem175	NA	NA	NA	NA
Maml2	NA	NA	NA	NA
Dhx40	NA	NA	NA	NA
Trpv2	NA	NA	NA	NA
Smug1	NA	NA	NA	NA
Hbs1l	NA	NA	NA	NA
Smcr8	NA	NA	NA	NA
3930402G23Rik	NA	NA	NA	NA
Popdc2	NA	NA	NA	NA
Seh1l	NA	NA	NA	NA
Gm48199	NA	NA	NA	NA
Gjc3	NA	NA	NA	NA
Malat1	NA	NA	NA	NA
Ankrd23	NA	NA	NA	NA
Grtp1	NA	NA	NA	NA
Rbm46os	NA	NA	NA	NA
Sec62	NA	NA	NA	NA
Kras	NA	NA	NA	NA
Tceal3	NA	NA	NA	NA
Tlr5	NA	NA	NA	NA
Fpr2	NA	NA	NA	NA
Ubac2	NA	NA	NA	NA
L2hgdh	NA	NA	NA	NA
Gm14762	NA	NA	NA	NA
Rab3il1	NA	NA	NA	NA
Slc25a24	NA	NA	NA	NA
Cyth1	NA	NA	NA	NA
Uba3	NA	NA	NA	NA
Cysltr1	NA	NA	NA	NA
Apbb1ip	NA	NA	NA	NA
Tulp2	NA	NA	NA	NA
Itgal	NA	NA	NA	NA
Rab10os	NA	NA	NA	NA
Akna	NA	NA	NA	NA
Osbpl5	NA	NA	NA	NA
Kxd1	NA	NA	NA	NA
Rpap1	NA	NA	NA	NA
Ddi2	NA	NA	NA	NA
Gpx3	NA	NA	NA	NA
Yipf3	NA	NA	NA	NA
Pip4k2a	NA	NA	NA	NA
Tango2	NA	NA	NA	NA
P3h1	NA	NA	NA	NA
Gm16348	NA	NA	NA	NA
Atp8b2	NA	NA	NA	NA
S100a4	NA	NA	NA	NA
Atp6ap2	NA	NA	NA	NA
Mup-ps13	NA	NA	NA	NA
Timeless	NA	NA	NA	NA
Rnf186	NA	NA	NA	NA
Ltbp3	NA	NA	NA	NA
Nudcd1	NA	NA	NA	NA
Ubl3	NA	NA	NA	NA
Cenpp	NA	NA	NA	NA
Ttbk1	NA	NA	NA	NA
Fbxl20	NA	NA	NA	NA
Tmc3	NA	NA	NA	NA
St3gal1	NA	NA	NA	NA
Plscr4	NA	NA	NA	NA
Ndufaf1	NA	NA	NA	NA
Klhl18	NA	NA	NA	NA
Tgfbi	NA	NA	NA	NA
Olfr1033	NA	NA	NA	NA
Tbx20	NA	NA	NA	NA
Cds1	NA	NA	NA	NA
Kcne3	NA	NA	NA	NA
Nfil3	NA	NA	NA	NA
Slc35b4	NA	NA	NA	NA
Med27	NA	NA	NA	NA
Garem1	NA	NA	NA	NA
Lrmda	NA	NA	NA	NA
Bcl2a1d	NA	NA	NA	NA
Cutc	NA	NA	NA	NA
Rel	NA	NA	NA	NA
Zfp316	NA	NA	NA	NA
Gdap2	NA	NA	NA	NA
Lsg1	NA	NA	NA	NA
Casp3	NA	NA	NA	NA
Ankrd52	NA	NA	NA	NA
Ormdl1	NA	NA	NA	NA
BC029722	NA	NA	NA	NA
Cyth4	NA	NA	NA	NA
Zw10	NA	NA	NA	NA
Was	NA	NA	NA	NA
Esrra	NA	NA	NA	NA
Arrdc1	NA	NA	NA	NA
Sbno1	NA	NA	NA	NA
Eaf1	NA	NA	NA	NA
Gm43788	NA	NA	NA	NA
Glud1	NA	NA	NA	NA
Sh2d2a	NA	NA	NA	NA
Cpz	NA	NA	NA	NA
Ptges3	NA	NA	NA	NA
Slc1a1	NA	NA	NA	NA
Metrn	NA	NA	NA	NA
1110028F11Rik	NA	NA	NA	NA
1700056E22Rik	NA	NA	NA	NA
Arhgap26	NA	NA	NA	NA
Jam2	NA	NA	NA	NA
Ppfia4	NA	NA	NA	NA
Gm8883	NA	NA	NA	NA
Gtf2a2	NA	NA	NA	NA
Itpr3	NA	NA	NA	NA
Tceal9	NA	NA	NA	NA
Thop1	NA	NA	NA	NA
Limk1	NA	NA	NA	NA
Atp6ap1	NA	NA	NA	NA
Cnn2	NA	NA	NA	NA
Rragd	NA	NA	NA	NA
Slc13a2	NA	NA	NA	NA
Cxcl16	NA	NA	NA	NA
Unc5b	NA	NA	NA	NA
Tnfrsf12a	NA	NA	NA	NA
Fndc10	NA	NA	NA	NA
Klhl12	NA	NA	NA	NA
Usp4	NA	NA	NA	NA
Wee1	NA	NA	NA	NA
Lims1	NA	NA	NA	NA
Tgds	NA	NA	NA	NA
Smarce1	NA	NA	NA	NA
Fat1	NA	NA	NA	NA
Il2rb	NA	NA	NA	NA
Sp3os	NA	NA	NA	NA
Acss1	NA	NA	NA	NA
Gm19801	NA	NA	NA	NA
Flt3	NA	NA	NA	NA
Ighv1-78	NA	NA	NA	NA
Pde9a	NA	NA	NA	NA
Idh3a	NA	NA	NA	NA
Wdr46	NA	NA	NA	NA
Cgn	NA	NA	NA	NA
Ppp1r16b	NA	NA	NA	NA
A930036K24Rik	NA	NA	NA	NA
Aldh2	NA	NA	NA	NA
Ltb	NA	NA	NA	NA
Ttc41	NA	NA	NA	NA
Slc38a10	NA	NA	NA	NA
Ccbe1	NA	NA	NA	NA
Epn2	NA	NA	NA	NA
Ric3	NA	NA	NA	NA
Hnf1b	NA	NA	NA	NA
Usp15	NA	NA	NA	NA
Habp2	NA	NA	NA	NA
Pomgnt1	NA	NA	NA	NA
Bcl2a1b	NA	NA	NA	NA
Zfp677	NA	NA	NA	NA
D830050J10Rik	NA	NA	NA	NA
Harbi1	NA	NA	NA	NA
Frg1	NA	NA	NA	NA
Matn2	NA	NA	NA	NA
Ccl21a	NA	NA	NA	NA
Plekhg2	NA	NA	NA	NA
Enho	NA	NA	NA	NA
Eif2b4	NA	NA	NA	NA
Rpl26-ps6	NA	NA	NA	NA
Olfr68	NA	NA	NA	NA
Cldn1	NA	NA	NA	NA
Tgfb1	NA	NA	NA	NA
Hsp90ab1	NA	NA	NA	NA
Lman1	NA	NA	NA	NA
Ide	NA	NA	NA	NA
Rac2	NA	NA	NA	NA
Lrrc25	NA	NA	NA	NA
Plin2	NA	NA	NA	NA
Ccdc157	NA	NA	NA	NA
Ppm1d	NA	NA	NA	NA
Ano10	NA	NA	NA	NA
Ubd	NA	NA	NA	NA
Fbxo30	NA	NA	NA	NA
Zbtb2	NA	NA	NA	NA
9930111J21Rik2	NA	NA	NA	NA
Fga	NA	NA	NA	NA
Fbxo31	NA	NA	NA	NA
9430038I01Rik	NA	NA	NA	NA
Ttc33	NA	NA	NA	NA
Ncbp1	NA	NA	NA	NA
Ppp4c	NA	NA	NA	NA
Ceacam2	NA	NA	NA	NA
Pparg	NA	NA	NA	NA
Donson	NA	NA	NA	NA
Sh3tc1	NA	NA	NA	NA
Arf5	NA	NA	NA	NA
Dhx29	NA	NA	NA	NA
Soat2	NA	NA	NA	NA
Oas3	NA	NA	NA	NA
Naaladl2	NA	NA	NA	NA
Rsrp1	NA	NA	NA	NA
Olfr698	NA	NA	NA	NA
Decr1	NA	NA	NA	NA
Bcl2	NA	NA	NA	NA
Abcg3	NA	NA	NA	NA
Kcnip3	NA	NA	NA	NA
Fam222b	NA	NA	NA	NA
Lnx2	NA	NA	NA	NA
Erbb4	NA	NA	NA	NA
Arl2bp	NA	NA	NA	NA
Mrrf	NA	NA	NA	NA
Wfdc17	NA	NA	NA	NA
Rnf39	NA	NA	NA	NA
S100a9	NA	NA	NA	NA
Slc2a8	NA	NA	NA	NA
Ighv14-4	NA	NA	NA	NA
Prkar2a	NA	NA	NA	NA
Csf2ra	NA	NA	NA	NA
Matk	NA	NA	NA	NA
BC024139	NA	NA	NA	NA
Mgat4a	NA	NA	NA	NA
P2rx7	NA	NA	NA	NA
Wdr12	NA	NA	NA	NA
Hyi	NA	NA	NA	NA
Lonp2	NA	NA	NA	NA
Ptprc	NA	NA	NA	NA
Tysnd1	NA	NA	NA	NA
Col4a4	NA	NA	NA	NA
Pklr	NA	NA	NA	NA
L3hypdh	NA	NA	NA	NA
Gjb1	NA	NA	NA	NA
Gm5740	NA	NA	NA	NA
Cd83	NA	NA	NA	NA
Atg4b	NA	NA	NA	NA
Glis1	NA	NA	NA	NA
Hps1	NA	NA	NA	NA
Il21r	NA	NA	NA	NA
Gm13141	NA	NA	NA	NA
Cd6	NA	NA	NA	NA
Gigyf1	NA	NA	NA	NA
Ctsf	NA	NA	NA	NA
Pi4kb	NA	NA	NA	NA
Il18	NA	NA	NA	NA
Bri3	NA	NA	NA	NA
Lamp2	NA	NA	NA	NA
H2-T10	NA	NA	NA	NA
Plek	NA	NA	NA	NA
Ern1	NA	NA	NA	NA
Pla2r1	NA	NA	NA	NA
Tbc1d22a	NA	NA	NA	NA
Tmem70	NA	NA	NA	NA
Tcp11l2	NA	NA	NA	NA
Nucb2	NA	NA	NA	NA
Tmx2	NA	NA	NA	NA
Fgb	NA	NA	NA	NA
Rnf19b	NA	NA	NA	NA
Clic1	NA	NA	NA	NA
Arhgap30	NA	NA	NA	NA
Ttc23	NA	NA	NA	NA
Gstt2	NA	NA	NA	NA
Myrf	NA	NA	NA	NA
Mtg2	NA	NA	NA	NA
Abhd17a	NA	NA	NA	NA
Apoo	NA	NA	NA	NA
Tnrc18	NA	NA	NA	NA
Immt	NA	NA	NA	NA
Gtf2i	NA	NA	NA	NA
Hpse	NA	NA	NA	NA
Gm43254	NA	NA	NA	NA
Upf3a	NA	NA	NA	NA
Capn1	NA	NA	NA	NA
Mrps22	NA	NA	NA	NA
Pknox2	NA	NA	NA	NA
Galk2	NA	NA	NA	NA
Lcmt2	NA	NA	NA	NA
Ccr7	NA	NA	NA	NA
Arhgap5	NA	NA	NA	NA
Slc2a4	NA	NA	NA	NA
Arhgef16	NA	NA	NA	NA
Aktip	NA	NA	NA	NA
Shisa2	NA	NA	NA	NA
Crtc3	NA	NA	NA	NA
Eda2r	NA	NA	NA	NA
Cacybp	NA	NA	NA	NA
Abcb11	NA	NA	NA	NA
Cpb2	NA	NA	NA	NA
Plcxd3	NA	NA	NA	NA
Ccdc80	NA	NA	NA	NA
Lins1	NA	NA	NA	NA
Tom1l2	NA	NA	NA	NA
Mttp	NA	NA	NA	NA
BC003965	NA	NA	NA	NA
Fam20c	NA	NA	NA	NA
Rbfa	NA	NA	NA	NA
Gm14319	NA	NA	NA	NA
Ighv5-4	NA	NA	NA	NA
Exoc4	NA	NA	NA	NA
Zbtb12	NA	NA	NA	NA
Nsmf	NA	NA	NA	NA
Arl16	NA	NA	NA	NA
Pkm	NA	NA	NA	NA
Mcm7	NA	NA	NA	NA
Tspyl3	NA	NA	NA	NA
Tollip	NA	NA	NA	NA
Tmem186	NA	NA	NA	NA
Rftn1	NA	NA	NA	NA
Noc4l	NA	NA	NA	NA
Gramd1b	NA	NA	NA	NA
Myo9a	NA	NA	NA	NA
Lyrm2	NA	NA	NA	NA
Nup62	NA	NA	NA	NA
Gm36251	NA	NA	NA	NA
Ppfia1	NA	NA	NA	NA
Elmod3	NA	NA	NA	NA
Cox11	NA	NA	NA	NA
Anp32b	NA	NA	NA	NA
Fra10ac1	NA	NA	NA	NA
Cyp2d11	NA	NA	NA	NA
Hsp90aa1	NA	NA	NA	NA
Gm48478	NA	NA	NA	NA
Tmem79	NA	NA	NA	NA
Zfp280b	NA	NA	NA	NA
Prrc2b	NA	NA	NA	NA
Adprm	NA	NA	NA	NA
Mfsd2a	NA	NA	NA	NA
Mdp1	NA	NA	NA	NA
Snrnp48	NA	NA	NA	NA
Gm18881	NA	NA	NA	NA
Ablim2	NA	NA	NA	NA
Sertad1	NA	NA	NA	NA
Brd3	NA	NA	NA	NA
Aif1	NA	NA	NA	NA
Zswim4	NA	NA	NA	NA
Gon7	NA	NA	NA	NA
Nr1h5	NA	NA	NA	NA
Clec1b	NA	NA	NA	NA
Camk2n1	NA	NA	NA	NA
Rasgrp1	NA	NA	NA	NA
Mmp2	NA	NA	NA	NA
Pfkfb1	NA	NA	NA	NA
Hspa5	NA	NA	NA	NA
Glra3	NA	NA	NA	NA
Gm46432	NA	NA	NA	NA
Lysmd3	NA	NA	NA	NA
Gm37174	NA	NA	NA	NA
Psmf1	NA	NA	NA	NA
Cnot9	NA	NA	NA	NA
Bmt2	NA	NA	NA	NA
Lsr	NA	NA	NA	NA
Rassf6	NA	NA	NA	NA
Cab39l	NA	NA	NA	NA
Mmp27	NA	NA	NA	NA
Arhgef3	NA	NA	NA	NA
Ntng2	NA	NA	NA	NA
Slc16a13	NA	NA	NA	NA
Abcf3	NA	NA	NA	NA
Nol4l	NA	NA	NA	NA
Cd48	NA	NA	NA	NA
Mettl22	NA	NA	NA	NA
Btk	NA	NA	NA	NA
Maged2	NA	NA	NA	NA
Zc3h7b	NA	NA	NA	NA
Cyp1a2	NA	NA	NA	NA
Gm39460	NA	NA	NA	NA
Nfkbie	NA	NA	NA	NA
Slc30a6	NA	NA	NA	NA
Dock9	NA	NA	NA	NA
Psmd5	NA	NA	NA	NA
Ptpn11	NA	NA	NA	NA
Tmem44	NA	NA	NA	NA
Agk	NA	NA	NA	NA
Crem	NA	NA	NA	NA
Gm45724	NA	NA	NA	NA
Lyst	NA	NA	NA	NA
Slc25a20	NA	NA	NA	NA
Strada	NA	NA	NA	NA
4833422C13Rik	NA	NA	NA	NA
Tmprss4	NA	NA	NA	NA
Tbcb	NA	NA	NA	NA
Stip1	NA	NA	NA	NA
Bsdc1	NA	NA	NA	NA
Top3a	NA	NA	NA	NA
Mdm1	NA	NA	NA	NA
Zfp772	NA	NA	NA	NA
Tnfrsf23	NA	NA	NA	NA
Zfp566	NA	NA	NA	NA
Gpihbp1	NA	NA	NA	NA
Tcf4	NA	NA	NA	NA
Cyba	NA	NA	NA	NA
Gm42895	NA	NA	NA	NA
Gnb2	NA	NA	NA	NA
Arap2	NA	NA	NA	NA
Ndufs2	NA	NA	NA	NA
Arhgap19	NA	NA	NA	NA
Dbp	NA	NA	NA	NA
Irf4	NA	NA	NA	NA
Xcr1	NA	NA	NA	NA
Rem1	NA	NA	NA	NA
Nf2	NA	NA	NA	NA
F12	NA	NA	NA	NA
Gm48488	NA	NA	NA	NA
Ptges	NA	NA	NA	NA
Stox1	NA	NA	NA	NA
Hacd2	NA	NA	NA	NA
Kank3	NA	NA	NA	NA
Snrk	NA	NA	NA	NA
Twsg1	NA	NA	NA	NA
Hdgf	NA	NA	NA	NA
Zfp568	NA	NA	NA	NA
Ddc	NA	NA	NA	NA
Dchs1	NA	NA	NA	NA
Ap3s2	NA	NA	NA	NA
Arhgap9	NA	NA	NA	NA
Map4k1	NA	NA	NA	NA
Slc7a8	NA	NA	NA	NA
Grb14	NA	NA	NA	NA
Dmtf1	NA	NA	NA	NA
Lpxn	NA	NA	NA	NA
Nrros	NA	NA	NA	NA
Gm42796	NA	NA	NA	NA
Trmt1	NA	NA	NA	NA
Slc15a3	NA	NA	NA	NA
Calm3	NA	NA	NA	NA
Pid1	NA	NA	NA	NA
Cd55	NA	NA	NA	NA
Mfsd14a	NA	NA	NA	NA
Eloc	NA	NA	NA	NA
Rubcnl	NA	NA	NA	NA
Arrb2	NA	NA	NA	NA
Olfr568	NA	NA	NA	NA
Hjurp	NA	NA	NA	NA
Gm48475	NA	NA	NA	NA
Rgs17	NA	NA	NA	NA
Nos2	NA	NA	NA	NA
Gm28035	NA	NA	NA	NA
Dnd1	NA	NA	NA	NA
Rgs16	NA	NA	NA	NA
Rps18-ps3	NA	NA	NA	NA
Stard9	NA	NA	NA	NA
Ube4b	NA	NA	NA	NA
Golt1a	NA	NA	NA	NA
Hsp90b1	NA	NA	NA	NA
Calhm6	NA	NA	NA	NA
Qrich1	NA	NA	NA	NA
Nek1	NA	NA	NA	NA
Dna2	NA	NA	NA	NA
Ppp1r18	NA	NA	NA	NA
Eif2s1	NA	NA	NA	NA
Zkscan7	NA	NA	NA	NA
Slc38a3	NA	NA	NA	NA
Pink1	NA	NA	NA	NA
Gm10642	NA	NA	NA	NA
Caprin1	NA	NA	NA	NA
Dcst2	NA	NA	NA	NA
Orai3	NA	NA	NA	NA
Ccdc17	NA	NA	NA	NA
Ccm2l	NA	NA	NA	NA
Slc25a48	NA	NA	NA	NA
Cyth2	NA	NA	NA	NA
Ppm1k	NA	NA	NA	NA
Fam222a	NA	NA	NA	NA
Npas3	NA	NA	NA	NA
Stx5a	NA	NA	NA	NA
Olfr1474	NA	NA	NA	NA
S100a6	NA	NA	NA	NA
Gm7591	NA	NA	NA	NA
H2-Q7	NA	NA	NA	NA
Mup10	NA	NA	NA	NA
Rbm43	NA	NA	NA	NA
Tm7sf3	NA	NA	NA	NA
Zfp932	NA	NA	NA	NA
Cript	NA	NA	NA	NA
Cracr2a	NA	NA	NA	NA
Chrd	NA	NA	NA	NA
Eci2	NA	NA	NA	NA
Nmnat2	NA	NA	NA	NA
1110059E24Rik	NA	NA	NA	NA
Clcn6	NA	NA	NA	NA
Ank1	NA	NA	NA	NA
Rpa2	NA	NA	NA	NA
Msn	NA	NA	NA	NA
Cops6	NA	NA	NA	NA
Trim2	NA	NA	NA	NA
Pnpla8	NA	NA	NA	NA
Anxa8	NA	NA	NA	NA
Jak1	NA	NA	NA	NA
Nipbl	NA	NA	NA	NA
Tlcd1	NA	NA	NA	NA
Brd8	NA	NA	NA	NA
Hoxa1	NA	NA	NA	NA
Ctse	NA	NA	NA	NA
Ube2b	NA	NA	NA	NA
Ranbp2	NA	NA	NA	NA
Zfp516	NA	NA	NA	NA
Adgrf1	NA	NA	NA	NA
Zcchc24	NA	NA	NA	NA
Fam72a	NA	NA	NA	NA
Vps33b	NA	NA	NA	NA
Pdlim4	NA	NA	NA	NA
Eml6	NA	NA	NA	NA
Bcdin3d	NA	NA	NA	NA
Rab11fip4	NA	NA	NA	NA
Eif2d	NA	NA	NA	NA
Cd52	NA	NA	NA	NA
Herc3	NA	NA	NA	NA
Pkn1	NA	NA	NA	NA
1810030O07Rik	NA	NA	NA	NA
Plod3	NA	NA	NA	NA
A530040E14Rik	NA	NA	NA	NA
1810058I24Rik	NA	NA	NA	NA
Rap1gap	NA	NA	NA	NA
Fzd5	NA	NA	NA	NA
Ebna1bp2	NA	NA	NA	NA
Mettl3	NA	NA	NA	NA
Cpne8	NA	NA	NA	NA
Myo1g	NA	NA	NA	NA
Tln1	NA	NA	NA	NA
Mtx3	NA	NA	NA	NA
Gm28043	NA	NA	NA	NA
Tnip1	NA	NA	NA	NA
Rnf2	NA	NA	NA	NA
Grk2	NA	NA	NA	NA
Traf3ip3	NA	NA	NA	NA
Adra1b	NA	NA	NA	NA
Pus10	NA	NA	NA	NA
Gm2155	NA	NA	NA	NA
Pax9	NA	NA	NA	NA
Slc11a2	NA	NA	NA	NA
Nxf1	NA	NA	NA	NA
Gm45294	NA	NA	NA	NA
2510039O18Rik	NA	NA	NA	NA
C430039J01Rik	NA	NA	NA	NA
Lrit2	NA	NA	NA	NA
Cebpa	NA	NA	NA	NA
Ptprs	NA	NA	NA	NA
Polr3b	NA	NA	NA	NA
3110021N24Rik	NA	NA	NA	NA
Thap6	NA	NA	NA	NA
Bmp2k	NA	NA	NA	NA
Cyp27a1	NA	NA	NA	NA
Cpsf4l	NA	NA	NA	NA
Ube2e1	NA	NA	NA	NA
Itgb3	NA	NA	NA	NA
Mblac2	NA	NA	NA	NA
B4galt7	NA	NA	NA	NA
Gm10658	NA	NA	NA	NA
Aff3	NA	NA	NA	NA
Ibtk	NA	NA	NA	NA
Gm6853	NA	NA	NA	NA
C1qb	NA	NA	NA	NA
Nod2	NA	NA	NA	NA
Zdhhc12	NA	NA	NA	NA
Prmt9	NA	NA	NA	NA
Thap1	NA	NA	NA	NA
Phc1	NA	NA	NA	NA
Hspd1-ps3	NA	NA	NA	NA
Pik3r5	NA	NA	NA	NA
Nfatc1	NA	NA	NA	NA
Rc3h1	NA	NA	NA	NA
Pdlim2	NA	NA	NA	NA
Fhl3	NA	NA	NA	NA
Cxcr5	NA	NA	NA	NA
Srpx2	NA	NA	NA	NA
Dennd4c	NA	NA	NA	NA
Pdcd1lg2	NA	NA	NA	NA
Gngt2	NA	NA	NA	NA
Dapk2	NA	NA	NA	NA
Gck	NA	NA	NA	NA
Gm2539	NA	NA	NA	NA
Camta2	NA	NA	NA	NA
Hspa2	NA	NA	NA	NA
Braf	NA	NA	NA	NA
Thrsp	NA	NA	NA	NA
Gm3787	NA	NA	NA	NA
Gm43421	NA	NA	NA	NA
Ulk2	NA	NA	NA	NA
Gm16759	NA	NA	NA	NA
Calu	NA	NA	NA	NA
Syt9	NA	NA	NA	NA
Gm3912	NA	NA	NA	NA
Dhps	NA	NA	NA	NA
Mfge8	NA	NA	NA	NA
Nelfcd	NA	NA	NA	NA
Trit1	NA	NA	NA	NA
Fkbp4	NA	NA	NA	NA
Elof1	NA	NA	NA	NA
Larp6	NA	NA	NA	NA
2410022M11Rik	NA	NA	NA	NA
Nudt6	NA	NA	NA	NA
Adpgk	NA	NA	NA	NA
Polr3e	NA	NA	NA	NA
Dzip1	NA	NA	NA	NA
H2-Ob	NA	NA	NA	NA
Mrps5	NA	NA	NA	NA
Gm2574	NA	NA	NA	NA
Dhodh	NA	NA	NA	NA
Pmf1	NA	NA	NA	NA
E330011M16Rik	NA	NA	NA	NA
Pgd	NA	NA	NA	NA
Ms4a4d	NA	NA	NA	NA
Ighv1-55	NA	NA	NA	NA
AI838599	NA	NA	NA	NA
Tap1	NA	NA	NA	NA
Lipg	NA	NA	NA	NA
Trmt10c	NA	NA	NA	NA
Cbfb	NA	NA	NA	NA
Cwf19l1	NA	NA	NA	NA
Foxf1	NA	NA	NA	NA
