Trendy genes	Trendy genes:Module genes	Module genes	Trendy genes:Module genes:Hub genes
Cyp3a63-ps	NA	NA	NA
Trpm8	NA	NA	NA
Kpna2	NA	NA	NA
Olfr450	NA	NA	NA
Mfsd12	NA	NA	NA
Tspan33	NA	NA	NA
Ppp1cc	NA	NA	NA
Exosc10	NA	NA	NA
Pla2g6	NA	NA	NA
Dtnb	NA	NA	NA
Map2k1	NA	NA	NA
Nudt18	NA	NA	NA
Atpif1	NA	NA	NA
Shank2	NA	NA	NA
Man2b2	NA	NA	NA
Myo6	NA	NA	NA
Ppif	NA	NA	NA
Mup12	NA	NA	NA
Cltb	NA	NA	NA
Gstp2	NA	NA	NA
Becn1	NA	NA	NA
Gm45774	NA	NA	NA
Scamp3	NA	NA	NA
Ubxn2a	NA	NA	NA
Mertk	NA	NA	NA
Itgb5	NA	NA	NA
Acadsb	NA	NA	NA
Smad6	NA	NA	NA
Igsf5	NA	NA	NA
Lgals3	NA	NA	NA
Usp39	NA	NA	NA
Gm29260	NA	NA	NA
Rdh5	NA	NA	NA
AI506816	NA	NA	NA
Dll1	NA	NA	NA
Adh6-ps1	NA	NA	NA
Fbxl5	NA	NA	NA
Fbxw9	NA	NA	NA
Olfr1030	NA	NA	NA
Plekhb1	NA	NA	NA
Dpysl2	NA	NA	NA
Sephs1	NA	NA	NA
Gde1	NA	NA	NA
Srsf6	NA	NA	NA
Asxl3	NA	NA	NA
Ppp1r9a	NA	NA	NA
Nomo1	NA	NA	NA
Tdo2	NA	NA	NA
Ntrk1	NA	NA	NA
Slc30a9	NA	NA	NA
Enpep	NA	NA	NA
Nek2	NA	NA	NA
Trim80	NA	NA	NA
Herc4	NA	NA	NA
Slc27a1	NA	NA	NA
H2-K2	NA	NA	NA
Nipa2	NA	NA	NA
Limd2	NA	NA	NA
Gm29475	NA	NA	NA
Mup1	NA	NA	NA
Pde1a	NA	NA	NA
Gm2788	NA	NA	NA
Gas1	NA	NA	NA
Dzip1l	NA	NA	NA
F11	NA	NA	NA
Rpp40	NA	NA	NA
Gm15638	NA	NA	NA
Gsta2	NA	NA	NA
Cox20	NA	NA	NA
Oasl2	NA	NA	NA
Dmrta1	NA	NA	NA
Sec22b	NA	NA	NA
Mthfs	NA	NA	NA
Mgat4b	NA	NA	NA
Sult2a3	NA	NA	NA
App	NA	NA	NA
Zbed4-ps1	NA	NA	NA
Elovl3	NA	NA	NA
Yaf2	NA	NA	NA
Cdc37l1	NA	NA	NA
H2-T22	NA	NA	NA
Abce1	NA	NA	NA
Meis1	NA	NA	NA
Kif21a	NA	NA	NA
Slc33a1	NA	NA	NA
Ehbp1l1	NA	NA	NA
Pcgf6	NA	NA	NA
Cdh19	NA	NA	NA
Nsd2	NA	NA	NA
Ctdp1	NA	NA	NA
Gorasp2	NA	NA	NA
Pcdh11x	NA	NA	NA
Rnd2	NA	NA	NA
Pdia6	NA	NA	NA
Stk38	NA	NA	NA
Tnip3	NA	NA	NA
Obp2a	NA	NA	NA
Mreg	NA	NA	NA
Olfr1044	NA	NA	NA
Hebp1	NA	NA	NA
Mcur1	NA	NA	NA
Dusp6	NA	NA	NA
Gm4756	NA	NA	NA
Spop	NA	NA	NA
Tbc1d4	NA	NA	NA
Slc35d1	NA	NA	NA
Tor4a	NA	NA	NA
Mrgpre	NA	NA	NA
Gpc1	NA	NA	NA
Apoa1	NA	NA	NA
Rarres2	NA	NA	NA
Gm10319	NA	NA	NA
Serpina11	NA	NA	NA
Ubtd1	NA	NA	NA
Gtf2ird1	NA	NA	NA
Trp53inp2	NA	NA	NA
Dus1l	NA	NA	NA
Wipi1	NA	NA	NA
Habp4	NA	NA	NA
Hsd17b2	NA	NA	NA
Creb3l3	NA	NA	NA
Eif5	NA	NA	NA
Tmem263	NA	NA	NA
Impa1	NA	NA	NA
Rexo2	NA	NA	NA
Apba2	NA	NA	NA
Hsd17b12	NA	NA	NA
Vat1	NA	NA	NA
Myef2	NA	NA	NA
Hars	NA	NA	NA
Dcakd	NA	NA	NA
Car6	NA	NA	NA
Gucd1	NA	NA	NA
Sult5a1	NA	NA	NA
Cyp4a32	NA	NA	NA
Gm37969	NA	NA	NA
Zhx3	NA	NA	NA
Fam234b	NA	NA	NA
Cyp3a41a	NA	NA	NA
Spc25	NA	NA	NA
Irgm2	NA	NA	NA
Etfb	NA	NA	NA
Gckr	NA	NA	NA
Cplane1	NA	NA	NA
Lrrfip2	NA	NA	NA
Nkd1	NA	NA	NA
Mme	NA	NA	NA
Ppib	NA	NA	NA
Ifit2	NA	NA	NA
Tnfaip8l3	NA	NA	NA
Fam160a2	NA	NA	NA
4732463B04Rik	NA	NA	NA
Gm3776	NA	NA	NA
Pold4	NA	NA	NA
Gm20559	NA	NA	NA
Gm48633	NA	NA	NA
Nek6	NA	NA	NA
Myo1d	NA	NA	NA
Pja1	NA	NA	NA
Tnfsf10	NA	NA	NA
Lmnb2	NA	NA	NA
Ces3b	NA	NA	NA
Bmp1	NA	NA	NA
Emp2	NA	NA	NA
Prss8	NA	NA	NA
Bpifa2	NA	NA	NA
Hdlbp	NA	NA	NA
Ldhd	NA	NA	NA
Mrpl15	NA	NA	NA
Scly	NA	NA	NA
Clk3	NA	NA	NA
Tmem129	NA	NA	NA
Cryl1	NA	NA	NA
Olfr701	NA	NA	NA
Tmem53	NA	NA	NA
Cops7b	NA	NA	NA
Gstp3	NA	NA	NA
Lurap1l	NA	NA	NA
Trim30d	NA	NA	NA
Lama1	NA	NA	NA
Fh1	NA	NA	NA
Tbl3	NA	NA	NA
Fbxo22	NA	NA	NA
Ubiad1	NA	NA	NA
Glrb	NA	NA	NA
Dcaf4	NA	NA	NA
Camk2b	NA	NA	NA
Bdnf	NA	NA	NA
Ahsa2	NA	NA	NA
Copg1	NA	NA	NA
Psmd6	NA	NA	NA
Ctnnal1	NA	NA	NA
Mbl1	NA	NA	NA
Mtfr1	NA	NA	NA
Hnmt	NA	NA	NA
Taf7l	NA	NA	NA
Grhl1	NA	NA	NA
Igfbp7	NA	NA	NA
Galns	NA	NA	NA
Txn2	NA	NA	NA
Gamt	NA	NA	NA
Avpr1a	NA	NA	NA
Gm30551	NA	NA	NA
Atp7b	NA	NA	NA
Srsf5	NA	NA	NA
Spred1	NA	NA	NA
Nsd3	NA	NA	NA
Grina	NA	NA	NA
Psmc4	NA	NA	NA
Fkbp11	NA	NA	NA
Fads1	NA	NA	NA
Prkab1	NA	NA	NA
Ano8	NA	NA	NA
Vcp	NA	NA	NA
Enpp2	NA	NA	NA
4930402D18Rik	NA	NA	NA
Flad1	NA	NA	NA
Ube2j1	NA	NA	NA
Desi1	NA	NA	NA
Riok3	NA	NA	NA
Mcc	NA	NA	NA
Atat1	NA	NA	NA
Mapk3	NA	NA	NA
Mup-ps16	NA	NA	NA
Kank2	NA	NA	NA
Serpina7	NA	NA	NA
Apom	NA	NA	NA
Nat1	NA	NA	NA
Rab5a	NA	NA	NA
Psme3	NA	NA	NA
Mup19	NA	NA	NA
Hbp1	NA	NA	NA
Pcdhgb5	NA	NA	NA
Strbp	NA	NA	NA
Ganab	NA	NA	NA
Scyl1	NA	NA	NA
Tax1bp1	NA	NA	NA
Yars	NA	NA	NA
Plgrkt	NA	NA	NA
Gm43210	NA	NA	NA
Deptor	NA	NA	NA
Gm43305	NA	NA	NA
Gm43606	NA	NA	NA
Fzd1	NA	NA	NA
Rundc3b	NA	NA	NA
Gm16551	NA	NA	NA
Ola1	NA	NA	NA
Hmbs	NA	NA	NA
Babam1	NA	NA	NA
Wdr43	NA	NA	NA
Peg3	NA	NA	NA
C4bp	NA	NA	NA
Gadd45a	NA	NA	NA
Fus	NA	NA	NA
Ccdc14	NA	NA	NA
Cyp46a1	NA	NA	NA
Hnrnpul1	NA	NA	NA
Amy1	NA	NA	NA
Rab30	NA	NA	NA
Cenpb	NA	NA	NA
Chia1	NA	NA	NA
Vmn1r12	NA	NA	NA
Ptprh	NA	NA	NA
Stap1	NA	NA	NA
Gm10614	NA	NA	NA
Fam53b	NA	NA	NA
Serinc1	NA	NA	NA
Eif3c	NA	NA	NA
Sema4a	NA	NA	NA
Cidec	NA	NA	NA
Ikbkg	NA	NA	NA
Tma16	NA	NA	NA
Arhgap15os	NA	NA	NA
Gstk1	NA	NA	NA
Gm15433	NA	NA	NA
Ccdc71l	NA	NA	NA
Clec4n	NA	NA	NA
Csad	NA	NA	NA
Sec61a1	NA	NA	NA
Naglu	NA	NA	NA
Scn4a	NA	NA	NA
2810459M11Rik	NA	NA	NA
Taf12	NA	NA	NA
Stab2	NA	NA	NA
Stk16	NA	NA	NA
Gatm	NA	NA	NA
Tmem106a	NA	NA	NA
Mlf2	NA	NA	NA
Slc41a3	NA	NA	NA
Enoph1	NA	NA	NA
Psd4	NA	NA	NA
Tmed2	NA	NA	NA
Mlxipl	NA	NA	NA
Gm15411	NA	NA	NA
Rpusd3	NA	NA	NA
Arcn1	NA	NA	NA
Gdpgp1	NA	NA	NA
Gzf1	NA	NA	NA
Pa2g4	NA	NA	NA
Sgsm3	NA	NA	NA
Dnajb1	NA	NA	NA
Sars	NA	NA	NA
Cdipt	NA	NA	NA
6720482G16Rik	NA	NA	NA
Zfp429	NA	NA	NA
Ubqln4	NA	NA	NA
Rarres1	NA	NA	NA
Gm48120	NA	NA	NA
Sec13	NA	NA	NA
Clasp2	NA	NA	NA
Faf1	NA	NA	NA
Capn8	NA	NA	NA
Olfr52	NA	NA	NA
Hpcal1	NA	NA	NA
Zfp637	NA	NA	NA
Cbr1	NA	NA	NA
Ablim3	NA	NA	NA
Ugt3a2	NA	NA	NA
Lgals1	NA	NA	NA
Mfsd4b4	NA	NA	NA
Mfsd8	NA	NA	NA
Pag1	NA	NA	NA
Mup-ps7	NA	NA	NA
Nars2	NA	NA	NA
Uros	NA	NA	NA
Crybg2	NA	NA	NA
Emc3	NA	NA	NA
C9orf72	NA	NA	NA
Ube2f	NA	NA	NA
Pml	NA	NA	NA
Asgr2	NA	NA	NA
Nagk	NA	NA	NA
Macrod1	NA	NA	NA
Prodh	NA	NA	NA
Serpinb6a	NA	NA	NA
Adora1	NA	NA	NA
Hcls1	NA	NA	NA
Slpi	NA	NA	NA
Rpn2	NA	NA	NA
Fbxo8	NA	NA	NA
Nubp2	NA	NA	NA
Ipp	NA	NA	NA
Timm29	NA	NA	NA
Ntn1	NA	NA	NA
Pdia5	NA	NA	NA
Spcs3	NA	NA	NA
Gm11992	NA	NA	NA
Gprc5b	NA	NA	NA
Rnd1	NA	NA	NA
Surf4	NA	NA	NA
Alg3	NA	NA	NA
Nlrp12	NA	NA	NA
Ssr3	NA	NA	NA
Spag7	NA	NA	NA
Sec31b	NA	NA	NA
Rangap1	NA	NA	NA
Scamp5	NA	NA	NA
Mup17	NA	NA	NA
Cntn1	NA	NA	NA
Klhdc1	NA	NA	NA
Zfp395	NA	NA	NA
Gab2	NA	NA	NA
Btd	NA	NA	NA
Shtn1	NA	NA	NA
Rcan3	NA	NA	NA
D230025D16Rik	NA	NA	NA
Rpe	NA	NA	NA
Iars	NA	NA	NA
Akap8l	NA	NA	NA
Spns1	NA	NA	NA
Psmd14	NA	NA	NA
Ggcx	NA	NA	NA
Tdg	NA	NA	NA
Sult1b1	NA	NA	NA
Brcc3	NA	NA	NA
Gm26967	NA	NA	NA
AU022252	NA	NA	NA
Anxa6	NA	NA	NA
C1ra	NA	NA	NA
Otoa	NA	NA	NA
Gm20121	NA	NA	NA
Abcf2	NA	NA	NA
Mmd2	NA	NA	NA
Xrn2	NA	NA	NA
Gsta1	NA	NA	NA
Tap2	NA	NA	NA
Paox	NA	NA	NA
Zdhhc6	NA	NA	NA
Pex14	NA	NA	NA
Sucnr1	NA	NA	NA
Acox2	NA	NA	NA
Kat2a	NA	NA	NA
Mmd	NA	NA	NA
4833439L19Rik	NA	NA	NA
Copb1	NA	NA	NA
Phospho2	NA	NA	NA
Cygb	NA	NA	NA
Atp6v0d1	NA	NA	NA
Ufd1	NA	NA	NA
Gimap8	NA	NA	NA
Ighm	NA	NA	NA
Npr2	NA	NA	NA
Catsper2	NA	NA	NA
9130409I23Rik	NA	NA	NA
Tars2	NA	NA	NA
Mpi	NA	NA	NA
Psmb8	NA	NA	NA
Gpx6	NA	NA	NA
Kyat1	NA	NA	NA
Ogfrl1	NA	NA	NA
Appl1	NA	NA	NA
Marveld3	NA	NA	NA
Inhbc	NA	NA	NA
Col20a1	NA	NA	NA
Drg1	NA	NA	NA
Zfp951	NA	NA	NA
Ngly1	NA	NA	NA
Gstm2	NA	NA	NA
Eprs	NA	NA	NA
Trhde	NA	NA	NA
Dntt	NA	NA	NA
Paip2	NA	NA	NA
Mtch1	NA	NA	NA
Id4	NA	NA	NA
Pno1	NA	NA	NA
Arntl2	NA	NA	NA
Rdh16	NA	NA	NA
Plec	NA	NA	NA
Rtn3	NA	NA	NA
Susd2	NA	NA	NA
Smim19	NA	NA	NA
Cyp2a5	NA	NA	NA
Csnk1d	NA	NA	NA
Gm31522	NA	NA	NA
Pitpnm1	NA	NA	NA
Nfs1	NA	NA	NA
Tnpo3	NA	NA	NA
4930581F22Rik	NA	NA	NA
Cpt2	NA	NA	NA
Tmed5	NA	NA	NA
Zfp536	NA	NA	NA
Iars2	NA	NA	NA
Gal3st1	NA	NA	NA
Gm16090	NA	NA	NA
Serpinc1	NA	NA	NA
E2f8	NA	NA	NA
1110018N20Rik	NA	NA	NA
Hyal1	NA	NA	NA
Arpc1b	NA	NA	NA
Aars	NA	NA	NA
Selenop	NA	NA	NA
Mpp6	NA	NA	NA
Lamc3	NA	NA	NA
Cmpk1	NA	NA	NA
Tpst2	NA	NA	NA
Ctr9	NA	NA	NA
Cabyr	NA	NA	NA
Izumo4	NA	NA	NA
Sds	NA	NA	NA
Wdr38	NA	NA	NA
Lilr4b	NA	NA	NA
Sh3bgrl3	NA	NA	NA
Fam210b	NA	NA	NA
Ddx1	NA	NA	NA
Ly6e	NA	NA	NA
Nap1l3	NA	NA	NA
Ints11	NA	NA	NA
Mapre3	NA	NA	NA
Slc17a3	NA	NA	NA
Hsd17b4	NA	NA	NA
4833411C07Rik	NA	NA	NA
Smpd1	NA	NA	NA
Cnih1	NA	NA	NA
Snap47	NA	NA	NA
Fam210a	NA	NA	NA
Asns	NA	NA	NA
Naip2	NA	NA	NA
Nkx2-6	NA	NA	NA
Pcdh18	NA	NA	NA
Cib1	NA	NA	NA
1700092C10Rik	NA	NA	NA
Gm48529	NA	NA	NA
Srl	NA	NA	NA
Try5	NA	NA	NA
Mecr	NA	NA	NA
Prep	NA	NA	NA
Ugt2b36	NA	NA	NA
Ormdl2	NA	NA	NA
Gm19619	NA	NA	NA
Acnat1	NA	NA	NA
Fdft1	NA	NA	NA
Jchain	NA	NA	NA
Vsig4	NA	NA	NA
6030458C11Rik	NA	NA	NA
Bap1	NA	NA	NA
Gm10827	NA	NA	NA
Arpc5l	NA	NA	NA
Gm20540	NA	NA	NA
Cyp4f13	NA	NA	NA
B430212C06Rik	NA	NA	NA
Gpr141b	NA	NA	NA
Brsk2	NA	NA	NA
Tnxb	NA	NA	NA
Serpina4-ps1	NA	NA	NA
C78197	NA	NA	NA
Mgmt	NA	NA	NA
Apol7e	NA	NA	NA
Trdmt1	NA	NA	NA
Trim12a	NA	NA	NA
Nudt16l1	NA	NA	NA
Vps28	NA	NA	NA
Ubqln1	NA	NA	NA
